MatchID,SeasonMatchNumber,TeamName,Date_of_Match,Opponent,HomeOrAway,Outcome,GoalsFor,GoalsAgainst,Assists,MatchLength,FirstHalfLength,SecondHalfLength,Formation,Starters,Substitutes,Captains,CurrentStanding,PossessionPercent,ShotsFor,ShotsAgainst,ShotsOnGoal,ShotsOnGoalAgainst,BlockedShots,TotalPasses,PassingAccuracyPercentage,CornersFor,CornersAgainst,CrossesFor,CrossesAgainst,DualsWon,Saves,Clearances,FoulsPerpetrated,FoulsAgainst,YellowCardsRecieved,RedCardsRecieved,OwnGoals,ThrowInsFor,GoalsInMatchFor,GoalsInMatchAgainst,PKTime,PKsPlayers,PKScored,DirectionFor,HeightFor,OnWWOutFor,TouchedFor,DirectionAgainst,HeightAgainst,OnWWOutAgainst,TouchedAgainst
ccdd,xxx,As seen on Team ID sheet,ddmmyyyy,TeamID,home or away,"W, L, or D",xx,xx,xx,mmmss,mmss,mmss,x-x-x-x...,"""pp, pp, pp...""","""iioohmmm, ...""","""pp, pp ...""",xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,"""ppaahmmmss, ppaahmmss""","""kkhmmmss""","""hmmmss, hmmmss""","""Spp or Kpp, ...""","""Y or N or R""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA"""
1214,093,San Diego Wave,22062024,04,away,D,00,00,00,10606,5100,5506,4-2-3-1,"""19, 18, 15, 77, 21, 24, 20, 02, 04, 16, 01""","""11152059, 05772059, 23182068, 14162068, 10242086""","""02""",09,49,09,06,05,02,02,317,82,04,06,20,22,46,01,16,13,14,01,00,00,25,X,X,X,X,X,X,X,X,X,X,X,X,X
0823,156,Seattle Reign FC,04102024,01,home,L,00,01,00,10433,4931,5502,4-2-3-1,"""01, 25, 21, 32, 24, 16, 46, 23, 09, 91, 34""","""31162063, 47232064, 12242076, 30092090"" ","""34""",11,50,06,11,01,02,X,311,69,09,08,24,19,X,01,13,09,15,01,00,00,24,X,"""01103309""",X,X,X,X,X,X,X,X,X,X,X
0123,156,Angel City FC,04102024,08,away,W,01,00,01,10433,4931,5502,4-2-3-1,"""24, 10, 08, 21, 04, 99, 27, 11, 06, 16, 13""","""20162046, 02062064, 17082081, 23212088""","""11""",10,50,11,06,02,01,X,326,72,08,09,19,24,X,01,35,15,09,02,00,00,13,"""1621103309""",X,X,X,X,X,X,X,X,X,X,X,X
0513,083,Kansas City Current,14062024,03,home,D,02,02,01,10820,5700,5120,4-4-2,"""21, 18, 12, 07, 04, 16, 99, 10, 17, 06, 09""","""14161046, 94092073, 05172074, 47992078, 11102078""","""10""",01,63,28,08,15,04,08,370,79,09,05,24,12,41,00,12,09,06,01,00,00,34,"""09XX205057, 0699205722""","""21100502, 21208943""",X,X,X,X,X,X,X,X,X,X,X
0313,083,Chicago Red Stars,14062024,05,away,D,02,02,02,10820,5700,5120,4-4-2,"""55, 09, 13, 20, 04, 15, 12, 41, 03, 23, 01""","""08152961, 10202073, 11552083"" ","""01""",06,37,08,28,04,15,02,165,60,05,09,12,24,54,05,35,06,09,01,00,00,20,"""0915100502, 0309208943""","""01205057, 01205722""",X,X,X,X,X,X,X,X,X,X,X
0408,052,Houston Dash,08052024,06,home,L,00,01,00,10310,5034,5236,3-5-2,"""01, 08, 13, 07, 15, 20, 10, 31, 11, 28, 09""","""19311038, 04102046, 30142046, 16282068, 33132084""","""01""",13,48,03,19,02,11,00,283,77,00,08,04,26,36,04,37,13,04,02,00,00,21,X,"""01100747""",X,X,X,X,X,X,X,X,X,X,X
0607,052,NJ/NY Gotham FC,08052024,04,away,W,01,00,00,10310,5034,5236,4-3-3,"""13, 09, 10, 19, 14, 17, 25, 06, 21, 02, 30""","""03022076, 18102076, 16132076, 77192089, 22092095""","""10, 14""",09,52,19,03,11,02,06,309,79,08,00,26,04,59,02,04,08,13,02,00,00,21,"""10XX100747""",X,X,X,X,X,X,X,X,X,X,X,X
0421,144,Houston Dash,21092024,08,home,W,01,00,00,10020,4702,5318,4-3-3,"""01, 02, 07, 33, 30, 14, 10, 31, 15, 09, 11""","""17142071, 21102085, 22112090""","""01""",14,37,10,11,02,02,02,231,81,05,05,13,26,44,02,27,12,11,04,00,00,17,"""14XX204934""",X,X,X,X,X,X,X,X,X,X,X,X
0821,144,Seattle Reign FC,21092024,04,away,L,00,01,00,10020,4702,5318,4-3-3,"""34, 09, 23, 16, 05, 91, 31, 21, 03, 25, 01""","""30232059, 24312059, 13252077, 02072086""","""03""",10,63,11,10,02,02,03,423,87,05,05,26,13,49,01,15,11,12,02,00,00,29,X,"""01204934""",X,X,X,X,X,X,X,X,X,X,X
0311,074,Chicago Red Stars,25052024,11,home,L,00,01,00,09834,5003,4831,4-2-3-1,"""19, 23, 03, 12, 28, 04, 13, 09, 34, 24, 55""","""33242046, 10342066, 41282081, 20042081, 08552086""","""09""",05,45,13,21,09,09,04,258,73,04,08,09,33,40,03,43,15,10,03,00,00,20,X,"""19102512""",X,X,X,X,X,X,X,X,X,X,X
1110,074,Racing Louisville FC,25052024,03,away,W,01,00,00,09834,5003,4831,4-2-3-1,"""23, 13, 07, 09, 26, 14, 02, 03, 20, 16, 01""","""66092066, 21232079, 17132090""","""20""",10,55,21,13,09,09,05,333,80,08,04,33,09,46,05,20,10,15,02,00,00,14,"""13XX102512""",X,X,X,X,X,X,X,X,X,X,X,X
1126,182,Racing Louisville FC,03112024,12,home,L,01,03,00,09804,4703,5101,4-2-3-1,"""88, 13, 09, 16, 14, 26, 02, 05, 20, 11, 01""","""08262046, 17132061, 21162061, 18882072, 15052078""","""20""",09,41,15,14,04,08,03,285,81,02,08,11,17,30,05,16,09,07,02,00,00,15,"""88XX206735""","""01100206, 01102141, 01207538""",X,X,X,X,X,X,X,X,X,X,X
1226,182,San Diego Wave,03112024,11,away,W,03,01,02,09804,4703,5101,4-2-3-1,"""01, 75, 14, 20, 06, 24, 05, 77, 11, 69, 19""","""15752030, 07192046, 21772067, 23112078""","""01""",12,59,14,15,08,04,03,416,83,08,02,17,11,44,03,12,07,09,01,00,00,26,"""1169100206, 77XX102141, 2169207538""","""01206735""",X,X,X,X,X,X,X,X,X,X,X
0801,005,Seattle Reign FC,17032024,14,home,W,01,00,00,11252,5442,5810,4-4-2,"""01, 17, 25, 21, 11, 05, 10, 06, 91, 09, 08""","""33082063, 03172063, 12912094, 22252094, 47882096""","""10, 03""",X,50,14,02,11,02,05,358,79,04,03,21,10,48,01,16,10,13,00,00,00,29,"""08XX100202""",X,"""100202""",S08,Y,L,L,On,N,NA,NA,NA,NA
1401,005,Washington Spirit,17032024,08,away,L,00,01,00,11252,5442,5810,4-2-3-1,"""33, 13, 07, 11, 12, 17, 14, 09, 03, 06, 01""","""05061047, 08132065, 16332065, 18072092""","""01""",X,50,02,14,02,11,01,366,79,03,04,10,21,47,05,26,13,10,02,01,00,19,X,"""01100202""","""100202""",K01,Y,NA,NA,NA,NA,L,L,On,N
1218,126,San Diego Wave,01092024,14,home,D,01,01,00,10258,4715,5543,4-2-3-1,"""01, 14, 04, 12, 06, 15, 05, 69, 77, 25, 13""","""20062062, 07132070, 10252070, 23692089, 18772089""","""13, 15""",10,54,08,18,02,04,02,391,84,04,06,22,17,47,04,28,08,10,00,00,01,21,"""14XX206715""","""01102938""",X,X,X,X,X,X,X,X,X,X,X
1418,126,Washington Spirit,01092024,12,away,D,01,01,00,10258,4715,5543,4-3-3,"""02, 11, 19, 17, 12, 10, 26, 09, 05, 03, 01""","""08192062, 16172079, 14032079""","""01""",03,46,18,08,04,02,07,332,82,06,04,17,22,43,01,22,10,08,00,00,00,37,"""OG14102938""","""01206715""",X,X,X,X,X,X,X,X,X,X,X
