MatchID,SeasonMatchNumber,TeamName,Date_of_Match,Opponent,HomeOrAway,Outcome,GoalsFor,GoalsAgainst,Assists,MatchLength,FirstHalfLength,SecondHalfLength,Formation,Starters,Substitutes,Captains,CurrentStanding,PossessionPercent,ShotsFor,ShotsAgainst,ShotsOnGoal,ShotsOnGoalAgainst,BlockedShots,TotalPasses,PassingAccuracyPercentage,CornersFor,CornersAgainst,CrossesFor,CrossesAgainst,DualsWon,Saves,Clearances,FoulsPerpetrated,FoulsAgainst,YellowCardsRecieved,RedCardsRecieved,OwnGoals,ThrowInsFor,GoalsInMatchFor,GoalsInMatchAgainst,PKTime,PKsPlayers,PKScored,DirectionFor,HeightFor,OnWWOutFor,TouchedFor,DirectionAgainst,HeightAgainst,OnWWOutAgainst,TouchedAgainst
ccdd,,As seen on Team ID sheet,ddmmyyyy,TeamID,home or away,"W, L, or D",xx,xx,xx,mmmss,mmss,mmss,x-x-x-x...,"""pp, pp, pp...""","""iioohmmm, ...""","""pp, pp ...""",xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,"""ppaahmmmss, ppaahmmss""","""kkhmmmss""","""hmmmss, hmmmss""","""Spp or Kpp, ...""","""Y or N or R""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA"""
0526,181,Kansas City Current,03112024,03,Away,W,03,01,02,09518,4703,4815,4-3-3,"""01, 04, 15, 27, 05 , 17, 10, 14, 16, 99, 08""","""12272060, 22102060, 07152066, 11142066, 66992080""","""16, 10""",04,45,14,14,06,04,05,342,82,06,05,13,18,43,03,25,07,07,01,XX,XX,17,"""1708102237, 9916102522, 08XX103227""","""012052122""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0617,115,Gotham FC,24082024,10,Home,W,02,XX,02,10119,4934,5145,4-2-3-1,"""30, 02, 27, 06, 03, 17, 14, 28, 09, 18, 13""","""22022046, 16132054, 15062054, 07282083, 08142089""","""14, 07""",04,52,16,09,09,03,02,390,83,03,02,15,12,46,03,12,08,09,XX,XX,XX,20,"""1303100644, 1816206906""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
1017,115,Portland Thorns,24082024,06,Away,L,XX,02,XX,10119,4934,5145,4-4-2,"""18, 02, 20, 04, 23, 24, 21, 08, 77, 13, 12""","""15242056, 66122056, 11022067, 25212078, 29212078""","""04""",05,48,09,16,03,09,04,342,79,02,03,12,15,45,07,14,09,08,01,XX,XX,22,XX,"""18100644, 18206906""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0716,111,Carolina Courage,07072024,11,Home,W,03,01,02,09608,4602,5006,4-2-3-1,"""01, 11, 07, 03, 13, 10, 06, 05, 02, 14, 94""","""25132046, 20142046, 34942046, 16062079, 17022079""","""10""",06,61,12,12,08,08,02,518,88,10,05,19,18,42,04,13,11,09,01,XX,XX,18,"""0225205405, 34XX206033, 2010206841""","""01103017""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
1116,111,Louisville Racing ,07072024,07,Away,L,01,03,01,09608,4602,5006,4-2-3-1,"""01, 02, 03, 20, 16, 06, 26, 07, 14, 09, 66""","""13092046, 21072070, 08142083, 23662083""","""06, ??""",08,39,12,12,08,08,03,315,85,05,10,18,19,41,03,29,09,11,02,XX,XX,18,"""6614103017""","""01205405, 01206033, 01206841""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0322,153,Chicago Redstar FC,29092024,07,Home,L,01,03,01,09906,5102,4804,4-2-3-1,"""01, 32, 41, 04, 12, 21, 20, 09, 34, 08, 14""","""26082058, 10342058, 05212077, 23322086, 13202086""","""01""",07,45,10,10,03,05,05,298,77,04,02,12,07,46,03,10,09,11,XX,XX,01,35,"""1432206730""","""01101414, 01104105, 01206435""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0722,153,Carolina Courage,29092024,03,Away,W,03,01,02,09906,5102,4804,4-2-3-1,"""01, 13, 03, 07, 11, 10, 06, 14, 02, 77, 08""","""20081018, 09772057, 17062077, 23142077, 94022077""",10,05,55,10,10,05,03,01,416,84,02,04,07,12,35,02,19,11,09,XX,XX,XX,23,"""OG04101414, 1014104105, 0920206435""","""01206730""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0324,163,Chicago Redstar FC,12102024,06,Home,L,XX,02,XX,10159,4732,5427,4-2-3-1,"""01, 32, 41, 04, 23, 21, 20, 34, 10, 09, 14""","""24342076, 08102089, 33232096""","""01""",06,40,02,12,01,05,XX,215,70,02,05,05,27,51,03,26,10,07,01,XX,XX,23,XX,"""01208654, 01209722""",208654,K01,Y,NA,NA,NA,NA,R,L,On,N
0624,163,Gotham FC,12102024,03,Away,W,02,XX,01,10159,4732,5427,4-1-4-1,"""30, 27, 06, 15, 02, 14, 18, 16, 17, 10, 09""","""16152046, 13112061, 22022074, 20082074, 05272083""",10,03,60,12,02,05,01,04,382,85,05,02,27,05,47,01,04,07,10,02,XX,XX,29,"""10XX208654, 0920209722""",XX,208654,S10,Y,R,L,On,N,NA,NA,NA,NA
0512,082,Kansas City Current,09062024,08,Home,W,05,02,04,11002,5100,5902,4-4-2,"""21, 18, 78, 07, 04, 06, 14, 10, 17, 09, 94""","""16942046, 99092046, 12782073, 05042077, 11102088""",10,02,51,12,13,08,08,01,338,76,06,05,17,14,47,05,11,11,06,XX,XX,XX,24,"""0617102723, 7809104612, 1606204526, 0607204629, 10XX206617""","""21102316, 21104025""",206617,S10,Y,R,M,On,N,NA,NA,NA,NA
